Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		22.75mV
Average              :		-0.376mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.000781mV
Time interval        :		20.00000uS

index		CH1_Voltage(mV)
1		0.871875
2		-1.268750
3		-0.603125
4		-0.012500
5		-0.693750
6		-0.750000
7		0.709375
8		-0.396875
9		-1.328125
10		0.165625
11		0.871875
12		0.090625
13		0.725000
14		2.128125
15		1.671875
16		0.740625
17		1.759375
18		1.243750
19		-0.353125
20		0.059375
21		1.006250
22		-0.575000
23		-1.696875
24		-0.959375
25		-1.903125
26		-3.896875
27		-3.056250
28		-2.759375
29		-3.528125
30		-3.453125
31		-1.903125
32		-2.331250
33		-3.425000
34		-1.978125
35		-1.003125
36		-1.653125
37		-1.387500
38		0.268750
39		-0.043750
40		-0.856250
41		0.756250
42		1.065625
43		-0.175000
44		-0.309375
45		1.153125
46		-0.262500
47		-0.884375
48		-0.381250
49		-0.381250
50		-1.475000
51		-0.781250
52		0.165625
53		-0.959375
54		-1.696875
55		-0.425000
56		-0.425000
57		-1.903125
58		-1.209375
59		-0.043750
60		-0.575000
61		-1.343750
62		0.578125
63		-0.456250
64		-1.978125
65		-1.578125
66		-0.559375
67		-1.887500
68		-2.687500
69		-1.284375
70		-1.978125
71		-3.675000
72		-3.025000
73		-2.228125
74		-2.953125
75		-2.818750
76		-0.868750
77		-1.431250
78		-2.525000
79		-0.912500
80		0.415625
81		-0.425000
82		0.165625
83		2.056250
84		1.537500
85		0.031250
86		1.006250
87		1.640625
88		0.431250
89		-0.206250
90		1.406250
91		0.903125
92		-0.706250
93		-0.071875
94		0.490625
95		-0.796875
96		-1.165625
97		0.312500
98		-0.100000
99		-1.431250
100		-0.309375
101		1.021875
102		-0.071875
103		-0.456250
104		1.109375
105		0.653125
106		-0.425000
107		0.931250
108		1.981250
109		0.518750
110		0.356250
111		2.009375
112		1.465625
113		-0.159375
114		0.637500
115		1.596875
116		0.562500
117		-0.353125
118		1.081250
119		0.281250
120		-1.415625
121		-1.062500
122		0.593750
123		-0.809375
124		-1.978125
125		-0.559375
126		-0.543750
127		-1.875000
128		-1.237500
129		0.134375
130		-0.456250
131		-1.562500
132		-0.250000
133		-0.234375
134		-2.184375
135		-2.125000
136		-0.115625
137		-1.046875
138		-2.406250
139		-1.534375
140		-0.912500
141		-2.715625
142		-2.006250
143		-0.425000
144		-1.784375
145		-2.803125
146		-1.134375
147		-0.840625
148		-2.109375
149		-1.784375
150		0.165625
151		-0.575000
152		-1.637500
153		0.106250
154		-0.662500
155		-2.893750
156		-2.406250
157		-1.046875
158		-2.568750
159		-3.468750
160		-1.459375
161		-2.525000
162		-3.631250
163		-2.493750
164		-2.006250
165		-4.075000
166		-3.484375
167		-1.284375
168		-2.125000
169		-2.271875
170		-0.559375
171		-0.646875
172		-1.875000
173		-0.678125
174		-0.250000
175		-2.421875
176		-1.887500
177		-0.056250
178		-1.725000
179		-2.640625
180		-1.134375
181		-1.800000
182		-2.909375
183		-1.209375
184		-0.825000
185		-2.687500
186		-1.328125
187		0.015625
188		-1.062500
189		-0.765625
190		0.962500
191		0.090625
192		-0.706250
193		0.990625
194		0.268750
195		-1.946875
196		-0.662500
197		-0.234375
198		-2.168750
199		-1.990625
200		-0.809375
201		-2.303125
202		-2.640625
203		-0.321875
204		-1.209375
205		-2.465625
206		-0.678125
207		-0.175000
208		-1.756250
209		-0.603125
210		0.059375
211		-1.518750
212		-1.134375
213		0.931250
214		-0.587500
215		-1.193750
216		0.075000
217		-1.134375
218		-2.612500
219		-0.928125
220		-1.831250
221		-3.587500
222		-2.493750
223		-1.903125
224		-3.956250
225		-3.543750
226		-2.700000
227		-3.912500
228		-3.750000
229		-1.609375
230		-3.262500
231		-4.443750
232		-3.559375
233		-4.590625
234		-6.143750
235		-3.956250
236		-2.315625
237		-2.228125
238		1.256250
239		4.078125
240		4.109375
241		5.525000
242		8.362500
243		8.287500
244		9.071875
245		12.128125
246		11.271875
247		9.425000
248		10.134375
249		8.568750
250		5.053125
251		4.815625
252		3.871875
253		-0.028125
254		-1.490625
255		-2.271875
256		-5.890625
257		-7.515625
258		-6.512500
259		-7.118750
260		-6.881250
261		-2.759375
262		-0.987500
263		0.165625
264		3.959375
265		5.215625
266		3.737500
267		4.921875
268		4.890625
269		2.084375
270		1.153125
271		1.021875
272		-1.121875
273		-2.390625
274		-1.756250
275		-3.128125
276		-4.368750
277		-2.671875
278		-2.406250
279		-2.700000
280		-0.278125
281		1.050000
282		1.359375
283		3.015625
284		5.303125
285		5.465625
286		6.103125
287		7.518750
288		6.634375
289		5.084375
290		5.187500
291		3.000000
292		-0.321875
293		-1.343750
294		-2.893750
295		-5.771875
296		-5.831250
297		-5.450000
298		-6.112500
299		-4.740625
300		-2.228125
301		-1.031250
302		0.490625
303		3.221875
304		3.768750
305		3.265625
306		4.271875
307		3.975000
308		1.965625
309		2.112500
310		0.990625
311		-2.096875
312		-2.775000
313		-2.671875
314		-3.778125
315		-5.109375
316		-3.675000
317		-4.281250
318		-5.181250
319		-3.512500
320		-2.465625
321		-2.921875
322		-0.825000
323		1.228125
324		1.640625
325		2.484375
326		4.653125
327		3.443750
328		2.659375
329		3.443750
330		2.306250
331		0.534375
332		0.371875
333		-0.115625
334		-2.153125
335		-2.390625
336		-1.696875
337		-2.640625
338		-2.568750
339		-0.575000
340		-0.234375
341		-0.531250
342		1.375000
343		1.553125
344		0.253125
345		1.006250
346		1.168750
347		-0.278125
348		-0.500000
349		0.003125
350		-1.534375
351		-2.537500
352		-1.621875
353		-2.715625
354		-4.015625
355		-3.056250
356		-2.746875
357		-4.150000
358		-3.025000
359		-1.518750
360		-2.096875
361		-2.021875
362		0.003125
363		0.003125
364		0.237500
365		2.159375
366		2.484375
367		1.168750
368		2.100000
369		2.275000
370		1.050000
371		0.843750
372		1.731250
373		0.106250
374		-1.134375
375		-0.159375
376		-0.321875
377		-1.653125
378		-0.321875
379		0.221875
380		-0.587500
381		-0.131250
382		1.034375
383		0.312500
384		-0.190625
385		1.315625
386		0.871875
387		-0.412500
388		0.756250
389		0.946875
390		-0.471875
391		0.268750
392		0.903125
393		0.165625
394		0.150000
395		1.640625
396		1.315625
397		0.431250
398		1.153125
399		1.965625
400		1.021875
401		2.246875
402		3.634375
403		3.250000
404		2.881250
405		4.165625
406		3.368750
407		1.981250
408		2.381250
409		2.381250
410		0.209375
411		0.134375
412		0.296875
413		-1.150000
414		-2.243750
415		-1.312500
416		-1.962500
417		-2.850000
418		-1.593750
419		-1.046875
420		-1.934375
421		-1.371875
422		-0.071875
423		-0.646875
424		-1.121875
425		0.653125
426		0.268750
427		-0.971875
428		0.193750
429		0.534375
430		-0.646875
431		-0.840625
432		0.150000
433		-1.134375
434		-1.859375
435		-0.646875
436		-1.165625
437		-2.612500
438		-1.653125
439		-1.193750
440		-2.006250
441		-1.725000
442		-0.056250
443		-0.825000
444		-1.193750
445		-0.012500
446		-0.278125
447		-2.081250
448		-1.696875
449		-1.431250
450		-2.893750
451		-3.453125
452		-2.271875
453		-3.337500
454		-4.118750
455		-3.084375
456		-2.715625
457		-3.896875
458		-3.528125
459		-2.125000
460		-2.612500
461		-2.478125
462		-0.721875
463		-0.900000
464		-1.475000
465		-0.381250
466		0.546875
467		-0.250000
468		0.371875
469		1.628125
470		0.903125
471		0.059375
472		1.153125
473		0.709375
474		-1.062500
475		-0.765625
476		0.534375
477		-0.309375
478		-0.456250
479		0.962500
480		0.784375
481		-0.071875
482		1.184375
483		1.759375
484		0.562500
485		1.256250
486		3.296875
487		2.496875
488		2.100000
489		3.162500
490		2.971875
491		2.112500
492		2.881250
493		3.975000
494		3.015625
495		2.350000
496		3.856250
497		2.940625
498		1.612500
499		1.996875
500		2.112500
501		1.021875
502		0.931250
503		2.381250
504		1.168750
505		0.031250
506		1.228125
507		0.756250
508		-1.018750
509		-0.646875
510		0.193750
511		-0.353125
512		-0.706250
513		0.621875
514		0.296875
515		-1.193750
516		0.059375
517		1.006250
518		0.090625
519		-0.396875
520		1.406250
521		0.990625
522		0.134375
523		1.612500
524		1.950000
525		0.681250
526		0.990625
527		3.087500
528		2.453125
529		1.418750
530		2.896875
531		2.631250
532		1.493750
533		2.231250
534		3.562500
535		2.100000
536		1.109375
537		2.528125
538		2.056250
539		0.371875
540		1.271875
541		1.684375
542		1.021875
543		0.134375
544		1.775000
545		1.359375
546		0.118750
547		1.937500
548		3.118750
549		1.790625
550		1.759375
551		2.940625
552		2.159375
553		0.871875
554		1.759375
555		2.275000
556		0.725000
557		0.740625
558		1.834375
559		-0.234375
560		-2.493750
561		-2.021875
562		-1.756250
563		-3.778125
564		-3.290625
565		-1.990625
566		-2.937500
567		-4.015625
568		-2.818750
569		-2.125000
570		-3.012500
571		-2.006250
572		0.328125
573		0.340625
574		0.118750
575		1.418750
576		1.996875
577		0.681250
578		0.709375
579		1.418750
580		0.150000
581		-1.609375
582		-0.618750
583		-1.018750
584		-3.321875
585		-3.484375
586		-2.200000
587		-3.071875
588		-3.262500
589		-1.681250
590		-0.634375
591		-1.284375
592		-0.250000
593		1.656250
594		1.021875
595		0.546875
596		2.128125
597		2.040625
598		0.134375
599		0.003125
600		0.459375
601		-1.165625
